#Provincia,altitud_referencia,valores_mensuales_temperatura_agua_fria
A_Coruna,0,10,10,11,12,13,14,16,16,15,14,12,11
Albacete,677,7,8,9,11,14,17,19,19,17,13,9,7
Alicante_Alacant,7,11,12,13,14,16,18,20,20,19,16,13,12
Almeria,0,12,12,13,14,16,18,20,21,19,17,14,12
Avila,1054,6,6,7,9,11,14,17,16,14,11,8,6
Badajoz,168,9,10,11,13,15,18,20,20,18,15,12,9
Barcelona,1,9,10,11,12,14,17,19,19,17,15,12,10
Bilbao_Bilbo,214,9,10,10,11,13,15,17,17,16,14,11,10
Burgos,861,5,6,7,9,11,13,16,16,14,11,7,6
Caceres,385,9,10,11,12,14,18,21,20,19,15,11,9
Cadiz,0,12,12,13,14,16,18,19,20,19,17,14,12
Castellon_Castello,18,10,11,12,13,15,18,19,20,18,16,12,11
Ceuta,0,11,11,12,13,14,16,18,18,17,15,13,12
Ciudad_Real,630,7,8,10,11,14,17,20,20,17,13,10,7
Cordoba,113,10,11,12,14,16,19,21,21,19,16,12,10
Cuenca,975,6,7,8,10,13,16,18,18,16,12,9,7
Girona,143,8,9,10,11,14,16,19,18,17,14,10,9
Granada,754,8,9,10,12,14,17,20,19,17,14,11,8
Guadalajara,708,7,8,9,11,14,17,19,19,16,13,9,7
Huelva,50,12,12,13,14,16,18,20,20,19,17,14,12
Huesca,432,7,8,10,11,14,16,19,18,17,13,9,7
Jaen,436,9,10,11,13,16,19,21,21,19,15,12,9
Las_Palmas_de_Gran_Canaria,114,15,15,16,16,17,18,19,19,19,18,17,16
Leon,346,6,6,8,9,12,14,16,16,15,11,8,6
Lleida,131,7,9,10,12,15,17,20,19,17,14,10,7
Logrono,379,7,8,10,11,13,16,18,18,16,13,10,8
Lugo,412,7,8,9,10,11,13,15,15,14,12,9,8
Madrid,589,8,8,10,12,14,17,20,19,17,13,10,8
Malaga,0,12,12,13,14,16,18,20,20,19,16,14,12
Melilla,130,12,13,13,14,16,18,20,20,19,17,14,13
Murcia,25,11,11,12,13,15,17,19,20,18,16,13,11
Ourense,327,8,10,11,12,14,16,18,18,17,13,11,9
Oviedo,214,9,9,10,10,12,14,15,16,15,13,10,9
Palencia,722,6,7,8,10,12,15,17,17,15,12,9,6
Palma_de_Mallorca,1,11,11,12,13,15,18,20,20,19,17,14,12
Pamplona_Iruna,456,7,8,9,10,12,15,17,17,16,13,9,7
Pontevedra,77,10,11,11,13,14,16,17,17,16,14,12,10
Salamanca,770,6,7,8,10,12,15,17,17,15,12,8,6
San_Sebastian,5,9,9,10,11,12,14,16,16,15,14,11,9
Santa_Cruz_de_Tenerife,0,15,15,16,16,17,18,20,20,20,18,17,16
Santander,1,10,10,11,11,13,15,16,16,16,14,12,10
Segovia,1013,6,7,8,10,12,15,18,18,15,12,8,6
Sevilla,9,11,11,13,14,16,19,21,21,20,16,13,11
Soria,984,5,6,7,9,11,14,17,16,14,11,8,6
Tarragona,1,10,11,12,14,16,18,20,20,19,16,12,11
Teruel,995,6,7,8,10,12,15,18,17,15,12,8,6
Toledo,445,8,9,11,12,15,18,21,20,18,14,11,8
Valencia,8,10,11,12,13,15,17,19,20,18,16,13,11
Valladolid,704,6,8,9,10,12,15,18,18,16,12,9,7
Vitoria_Gasteiz,512,7,7,8,10,12,14,16,16,14,12,8,7
Zamora,617,6,8,9,10,13,16,18,18,16,12,9,7
Zaragoza,207,8,9,10,12,15,17,20,19,17,14,10,8
